id,title,date,summary,fulltext
13196500902,"North Carolina, Durham ",1965,"North Carolina, Durham. On 23 November a party of climbers from the University of North Carolina were practicing rock climbing technique at an abandoned rock quarry about one mile south of Durham. ...","North Carolina, Durham. On 23 November a party of climbers from the University of North Carolina were practicing rock climbing technique at an abandoned rock quarry about one mile south of Durham. George Huppert (20) and Joseph McSwain started to climb an obvious crack up an inside corner using direct aid. Huppert, who was leading, had placed one piton and was placing another between the corner and the main cliff. The piton sounded good for the first two blows, but on the third, the piton went into the eye unexpectedly, acted as a wedge, and pried a huge block (which had been the inside corner) from the main cliff. All pitons came out, and both Huppert and the block tumbled fifteen feet to the ground. He was crushed when the block hit him.Several of the other members notified the Durham County Rescue Squad, while others tried to relieve the pressure of the rock against Huppert. The members of the Rescue Squad estimated the weight of the block to be around 3,000 pounds.Huppert was rushed to Watts Hospital in Durham. The doctors said that he suffered a dislocated pelvis, a fractured hip, and a severe laceration of the coccyx. He is now making a complete recovery.Source: George E. DeWolfe.Analysis: Huppert is an experienced climber and was using every safety precaution one can employ on a direct aid ascent. No procedures were violated. I think that a hard hat could have prevented any damage done to Huppert’s head, although there was next to none. It was a freak accident that could have happened to any of us, and I feel sure that Huppert feels lucky to be alive."
13197401603,"North Carolina, Table Rock ",1974,"North Carolina, Table Rock. On December 3rd Steve Longenecker (age 33) and Robert Watts (27) were doing a short rock climb at Table Rock. Longenecker customarily climbed in a seat harness made of o...","North Carolina, Table Rock. On December 3rd Steve Longenecker (age 33) and Robert Watts (27) were doing a short rock climb at Table Rock. Longenecker customarily climbed in a seat harness made of one-inch nylon webbing. Having forgotten his own, he borrowed one that Watts had worn on two previous outings. The webbing was approximately twelve feet long and had a piece of tape about midway. When Longenecker fell on the lead, the webbing parted at the tape, letting him drop 62 feet to the ground, where he landed on his left side, sustaining a broken rib, several bruised muscles, and a brain contusion. He was wearing a Joe Brown hard hat that was not scratched in the fall. (Source: Longenecker.)Analysis: Both leader and belayer assumed that the tape marked the middle of the webbing. Not so. The webbing consisted of two separate pieces that had been taped together before Watts purchased it. Manufacturers may splice webbing with tape so as to sell it in reels of exact length. Other climbers have purchased spliced webbing, including one who used it as a running belay sling. Obviously, climbing equipment shops should put an end to this custom. Climbers have an equal responsibility to inspect their gear closely, which means that no working length of rope or webbing should be covered with tape."
13200307700,"Fall on Rock, Protection Came Out, No Hard Hat, North Carolina, Linville Gorge, North Carolina Wall ",2003,"FALL ON ROCK, PROTECTION CAME OUT, NO HARD HATNorth Carolina, Linville Gorge, North Carolina WallOn September 8, Colin Treiber, (20), and his partner were climbing Bumblebee Buttress (5.8), located...","FALL ON ROCK, PROTECTION CAME OUT, NO HARD HATNorth Carolina, Linville Gorge, North Carolina WallOn September 8, Colin Treiber, (20), and his partner were climbing Bumblebee Buttress (5.8), located on the North Carolina Wall in the Linville Gorge Wilderness Area. Treiber, an experienced climber, lost his balance before he was able to clip into his fifth piece of protection and began to fall. The rock where the fourth piece of protection was placed broke, causing the piece to come out. His first, second and third protection pieces remained but did not prevent him from hitting the base of the route. Additional reports suggest that he fell on the upper part of the first pitch well above his last piece of protection. When his last piece blew, it caused him to invert, striking the back of his head against the wall. A broken neck and concussion to the head were the major injuries. He was not wearing a helmet. CPR initiated by his partner was unsuccessfulExperienced climbers at the scene said that Treiber was using the appropriate equipment and it was in good working order. Over 40 personnel from Burke County Emergency Services, Burke County EMS Special Operations Team, Jonas Ridge Fire and First Responders, Burke County Rescue Squad, Lake James Fire Department, Oak Hill Fire Department, Burke County REACT, North Carolina Outward Bound School, and Linville Central Rescue were involved in the body recovery. (Sources: Sharon McBrayer, The News Herald, September 9, 2002, and Aram Attarian)AnalysisI went into the Gorge with knowledge of the accident but not sure where it happened. When I arrived at the base of Bumblebee Buttress, my whole day changed. I saw two pieces of gear still in place on the route, the first piece, a well-placed .75 Camalot. It was about 15 feet up. The second was a #8 Metolius cam. It was about 20 feet higher, right below the crux of the first pitch. Both were in good rock with long slings. I saw no fifth piece. I had planned on soloing the route, but only went up as far as the gear I could see from the ground—40 feet or so, not quite up into the corner system.On the first ledge at the base of the route I found a rope bag and a “mashed up” #4 Metolius cam. The cam looked as though it had been pulled through the crack. The trigger was pushed up against the cam head and the head itself was “chewed up.” With the stem slightly bent, it looked like it had taken a small amount of force before it popped. It was not in good working order. My guess is that it was the second piece to fail.In between the .75 and the #8 Metolius, I found a damaged .5 Camalot lying in the crack. The .5 showed signs of great stress. It looked as though it was placed horizontally. The cam head was slightly mashed on one side, but the stem was bent over like a piece of elbow macaroni. The cable was crushed and frayed, showing signs of significant force spread out over the entire stem. It looked as though it was placed on top of and behind a blocky feature. The sling of the cam was frayed on the clip in end and looked as though it had been melted with a hot iron on the side that would have been in contact with the rock.My guess is Colin lost his footing trying to clip his fifth piece and fell (possibly upside down) 20-25 feet onto the .5 Camalot. I’m not sure whether or not he collided with the rock before the placement failed or after, but given the amount of force the .5 Camalot looks to have taken, it suggests that it happened after, causing the rock around the placement to explode and fall down onto Colin. The #4 Metolius cam seems not to have held either, also due to rock quality. There was a significant amount scaring caused by rocks about the size of a soccer ball low on the route. Colin’s fall was then arrested by the #8 Metolius a few feet off the deck. All in all the fall was probably around 80-90 feet.With all this said, here is what I think we can learn from this tragic accident. Always wear a helmet while climbing in the Gorge, try to use passive protection as much as possible around hollow or questionable rock features, and be extremely cautious of ledge-fall potential. (Source: From observations by Pat Goodman, a local climber)"
13198505703,"Bat Bite — North Carolina, Green Cove ",1985,"BAT BITENorth Carolina, Green CoveOn September 13, 1984, Edwina Wicker (20) was doing a top roped climb with her Outward Bound group when she was bitten on her middle finger by a bat. The bat, who ...","BAT BITENorth Carolina, Green CoveOn September 13, 1984, Edwina Wicker (20) was doing a top roped climb with her Outward Bound group when she was bitten on her middle finger by a bat. The bat, who was in a crack that several other climbers used, was captured by the staff so the Health Department could determine whether or not the bat had rabies. (Source: Carrie Hozena, North Carolina Outward Bound School)AnalysisBats are occasionally on several of the climbing areas in North Carolina (and elsewhere). This is the first report of anyone being bitten, and the response to the accident should be remembered. The victim was spared the potential of serious illness. Even if the suspected critter cannot be found, a shot series should be considered. In this case, the bat, though found not to have rabies, was captured an hour after the incident (using gloves, snake stick, and a bag), so in case it might have been a different bat, the victim took a series of shots. They had no side effects, and she was able to complete her program. (Source: J. Williamson)"
13199005302,"Lightning, North Carolina, Hanging Rock State Park ",1990,"LIGHTNINGNorth Carolina, Hanging Rock State ParkOn March 18, 1989, Staff Sargeant Lynn Tiegdan was struck and killed by lightning on Moore’s Wall. The storm occurred just after 1400. Tiegdan was pa...","LIGHTNINGNorth Carolina, Hanging Rock State ParkOn March 18, 1989, Staff Sargeant Lynn Tiegdan was struck and killed by lightning on Moore’s Wall. The storm occurred just after 1400. Tiegdan was part of a group of climbers who sought shelter in what they thought was a protected area. The strike affected four climbers. At the time, Tiegdan was leaning against the rock face with a wet coil of rope looped over both shoulders. Despite an over two hour resuscitative effort, which included CPR, IV, oxygen, epinephrine, atropine sulfate and sodium bicarbonate, the victim died from electrical shock. (Source: from a report by Paul M. Weathers)AnalysisThe victim’s location was actually in a spark gap, under a ledge. The rope helped act as a conductor. While there may be no “good” location on a route, being out from under a ledge or shallow cave is a better choice. (Source:J. Williamson) (Editor’s Note: North Carolina ranks high nationally in the number of lightning-related, deaths. In June, another lightning death occurred when a hiker near the Attic Window Peak area of Grandfather Mountain was struck and thrown from a cliff, falling 40 meters to rocks below. Our thanks to Aram Attarian for sending reports from North Carolina.)"
13197904203,"Fall on Ice, No Protection, North Carolina, Whiteside Mountains ",1979,"FALL ON ICE, NO PROTECTIONNorth Carolina, Whiteside MountainsAt 2 p.m. on the afternoon of February 6, 1978, Jeff Bates (21) from Atlanta, Georgia, was killed in a fall at the base of the North Fac...","FALL ON ICE, NO PROTECTIONNorth Carolina, Whiteside MountainsAt 2 p.m. on the afternoon of February 6, 1978, Jeff Bates (21) from Atlanta, Georgia, was killed in a fall at the base of the North Face of Devil’s Courthouse, a large granite outcrop on the north side of Whiteside Mountain near Highlands, North Carolina. Bates was a member of a party of three which had completed the ascent (possibly the first) of a 400-foot Scottish Grade V ice climb on the North Face of the Courthouse the previous day.The accident occurred while Bates, Truette Stubbs (39) of Atlanta, and I, Dave Buck (26), of Atlantic Beach, Florida, were collecting equipment left the previous day. In that there was gear to be retrieved from both the base and the top of the route, the party had split up, with Buck collecting the equipment left in the woods at the top, while Bates and Stubbs went to retrieve the remaining at the base.While Bates and Stubbs were on a large ice-covered ledge (about 15 feet wide by 35 feet long) from which the climb had been started, Bates was photographing the route from various angles. At one point he cramponed down a number of feet below the ledge on a 30-degree ice slope which formed the top of a long, low angle ice gully which extended over 200 feet below the ledge. While standing on the ice on the front points of his crampons he went to his knees, apparently to get a better photographic perspective, lost the grip of his front points, and slid down the gully for a distance of over 200 feet. As he first began to slide he seemed not to realize the danger he was in as he retained his grip on the camera, though he did make some efforts to regain his balance. As the speed of the slide increased, he let go of the camera and almost immediately thereafter his head struck an exposed rock, apparently rendering him unconscious. Even in the event that he had had an axe and had attempted to self-arrest, it seems highly unlikely that the attempt could have been successful due to the very hard surface of the ice and the many bulges and boulders in the bed of the gully. Although Stubbs cramponed down immediately to give any aid possible, Bates was dead when he reached him.The two surviving members of the team reported the accident to the authorities in Highlands, North Carolina, and later in the afternoon, I returned to the scene of the accident with members of the Glenville Cashiers Rescue Squad to recover the body. The recovery operation was completed by 9:30 p.m. (Source: David M. Buck)AnalysisAlthough I was not immediately present when the accident occurred, I have been told by Truette Stubbs, who witnessed it, that Jeff was very excited while they were at the base of the climb, very happy at having completed the best climb of his career. I know that we all realized the potential danger presented by the gully, having watched pieces of ice bound down it during our ascent of the frozen waterfall above the previous day, so I do not feel that Jeff, had he kept his mind fully on what he was doing, would have ventured into the gully unroped and without even an axe or helmet. Certainly under no circumstances would he have tried to brace his knees on the ice to get a photograph. Based upon what I know of Jeff’s knowledge and ability on ice, and what I have been told of the accident, the only judgment that I can draw is that in his excitement Jeff let his emotions overcome his thinking and made two basic yet tragic errors: he climbed, unroped and ill equipped, into a potentially dangerous position and then tried to brace his knees on a slope of pure water ice.The possibility that Jeff might have survived the fall had he been wearing a helmet, as we all did on the climb, must be considered. Whether or not it would indeed have saved him I cannot even guess as I do not know the extent of any internal injuries he sustained in the fall. It can certainly be said, however, that a helmet would have offered some protection at least.If there is a lesson to be learned from Jeff’s death, it is, I think, that none of us can allow our concentration to fail for even a fraction of a second while we are in the mountains. No matter how easy the terrain, how apparently safe the position, we must not allow our minds to wander from the job at hand; we must not let the emotions of the moment overcome our control. (Source: David M. Buck)"
13201207501,"Fall on Rock, Off Route, North Carolina, Stone Mountain ",2012,"FALL ON ROCK, OFF ROUTENorth Carolina, Stone MountainOn October 21, we approached the base of Stone Mountain to climb U-Slot (5.7) and then the Great Arch (5.5). On our way to the climb, I noticed ...","FALL ON ROCK, OFF ROUTENorth Carolina, Stone MountainOn October 21, we approached the base of Stone Mountain to climb U-Slot (5.7) and then the Great Arch (5.5). On our way to the climb, I noticed two men moving rather slowly across the boulder field at the base of The Block Route and U-Slot. One of the men yelled down to me and the two other climbers I was with saying, “We need help! I had a bad lead fall.”All three of us immediately dropped our packs and made our way up to the party of two, expecting the worst. When we got to them, I began asking them questions about the fall and his injuries. Dan (age unknown), the climber who had fallen, was standing and trying to scramble down between the rocks and trees with his older brother trying to assist him. Dan’s brother stated that he was a paramedic and they just needed a couple of people to help get Dan down to the field so they could get their vehicle. Dan was able to walk but only with assistance from three of us, as he was unable to fully weight his left foot. Dan had major abrasions and rock burn from sliding down the slab of Stone Mountain. The majority of his injuries were on his left side, including his hand, wrist, arm, hip, ankle, and foot. When Dan’s brother arrived with the truck he helped bandage his left arm before they packed up and began the drive out. We encouraged that they seek medical attention but are unsure if they did.AnalysisAs we talked with Dan we found out that he had been climbing for a long time and knew Stone Mountain and Block Route very well but was fairly new to leading.This is a reminder that all climbers should know and understand their limits, especially on lead, and to make sure you pay attention to the route so you don’t stray off, even if you have been on it before. (Source: David Crye)"
13201207002,"Fall on Rock, North Carolina, Pilot Mountain State Park ",2012,"FALL ON ROCK – FALL ON ROCKNorth Carolina, Pilot Mountain State ParkOn February 13, several others and I witnessed a long fall that resulted in a climber hitting the ground. I was climbing Foreign ...","FALL ON ROCK – FALL ON ROCKNorth Carolina, Pilot Mountain State ParkOn February 13, several others and I witnessed a long fall that resulted in a climber hitting the ground. I was climbing Foreign Trade Zone while a party of two was top-roping some variation of Bat Out of Hell (5.11). The climber reached the top of the route while I was about halfway up Foreign Trade Zone. I heard a “whoosh” and a loud thump and looked down to see the climber yell and bounce off the ground.My belayer lowered me and we sent a couple people up the trail to call 911 and notify Park personnel. Meanwhile, the climber’s partner, a couple others, and I tried to keep him still and attend to a small cut on the back of his head. He was alert, not injured, and otherwise seemed okay. Rangers and EMS arrived fairly quickly and checked him out. He was up and walking around and refused treatment. Both actually kept climbing.His apparent lack of injury was pretty amazing to me. He had fallen from the top of the route, which I’d estimate at ~40 feet, and landed on his back/butt. His belayer had taken him off belay, assuming he was going to rappel, when he was, in fact, expecting to be lowered.AnalysisThis was a case of miscommunication between poorly trained, novice climbers. The climber never requested to be taken off belay. The belayer took him off and called, “Belay is off!” The climber never heard this and expected to be lowered. Anytime there is a belay change, especially at busy crags where it may also be hard to hear, always yell the person’s name in the command. The anchor was inspected and found to have been constructed with the rope passing over a large ledge at the top of the route, thus creating a lot of rope drag. This configuration may have saved the climber from serious injury due to the friction in the system. It actually slowed down at least half of his fall. (Source: Edited from a post by C. Sproul on carolinaclimbers.org)"
13200205400,"Inadequate Water—Dehydration, Exhaustion, North Carolina, Moore's Wall, Sentinel Buttress ",2002,"INADEQUATE WATER–DEHYDRATION, EXHAUSTIONNorth Carolina, Moore's Wall, Sentinel ButtressAt approximately 1800 on June 6,1 received a radio communication from seasonal office assistant RyanMoorefield...","INADEQUATE WATER–DEHYDRATION, EXHAUSTIONNorth Carolina, Moore's Wall, Sentinel ButtressAt approximately 1800 on June 6,1 received a radio communication from seasonal office assistant RyanMoorefield. He had received a call from Stokes County Communications that a climber on Moore’s Wall had phoned 911 by cell phone to advise of an unconscious climber. I arrived at the scene (the base of Sentinel Buttress) at 1820 and was advised by the individuals on the scene that a climber, Jason Blevins (19), had been approximately 50 feet from the top of the climb when he passed out from dehydration and exhaustion (all Blevins had to drink this day was a half can of soda). Two climbers, Zack Blevins and Jesse Kale (not part of the climbing party), helped lower Jason onto a large ledge approximately 100 feet from the base of the climb. At this time Blevins regained consciousness but was disoriented. When I arrived, I spoke with Kale, who stated that Jason was conscious and speaking with no obvious injuries but requested water. While awaiting the arrival of Stokes Mountain Rescue, water was passed up to them via rope. Mountain rescue arrived at approximately 1845 and was led to a point directly above the climbers by myself and Ranger Joe Deppe. Mountain Rescue members rappelled to the climbers and assisted them to the base of the climb. Blevins was carried out to an awaiting ambulance by Mountain Rescue and Fire department personnel via Stokes Basket. Blevins was examined by medical personnel and signed a refusal to receive farther medical assistance form. (Source: Craig D. Standridge, Hanging Rock State Park)AnalysisStaying hydrated is an important consideration when exercising in any environment. This is especially true when climbing in North Carolina (or other temperate environments) during the hot and humid summer months. It’s not uncommon to lose one liter of sweat during one hour of exertion. This incident reminds climbers to make sure that they remain hydrated throughout the climbing experience. Climbers should establish a water-drinking regimen in order to maximize performance. It’s recommended that water be ingested prior to exercise and repeated every 15 or 20 minutes. Drinking a half can of soda for an entire day of climbing is clearly inadequate.This rescue effort required over 140 hours of volunteer labor (26 people x 5.5 hours)! This is why climbers should familiarize themselves with basic partner and self-rescue skills in order to facilitate their own rescue. (Source: Aram Attarian)"
13199404801,"Fall on Rock, Inadequate Protection, North Carolina, Crowders Mountain State Park ",1994,"FALL ON ROCK, INADEQUATE PROTECTION North Carolina, Crowders Mountain State ParkOn May 23,1993, Dan Plaisted (31) was standing on the cliff, preparing to return to the bottom and begin his climb, w...","FALL ON ROCK, INADEQUATE PROTECTION North Carolina, Crowders Mountain State ParkOn May 23,1993, Dan Plaisted (31) was standing on the cliff, preparing to return to the bottom and begin his climb, when he suddenly fell, said park supervisor Joe Sox.Plaisted broke several bones. He was airlifted to Carolnas Medical Center in Charlotte, where he was in critical condition Sunday night, a hospital spokeswoman said.The accident occurred at 1115 in the eastern part of the park, in a designated climbing area known as the Red Wall.Plaisted was atop the 50-foot cliff, securing some ropes he planned to use during the climb. Suddenly, Plaisted lost his balance and plunged to the ground. He landed on his feet, which probably saved him from head injuries or death. (Source: The Charlotte Observer, May 24,1993)"
